Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,AQI_Label
2004-03-10,18:00:00,2.6,1360,150,11.9,1046,166,1056,113,1692,1268,13.6,48.9,0.7578,Moderate
2004-03-10,19:00:00,2.0,1292,112,9.4,955,103,1174,92,1559,972,13.3,47.7,0.7255,Good
2004-03-10,20:00:00,2.2,1402,88,9.0,939,131,1140,114,1555,1074,11.9,54.0,0.7502,Moderate
2004-03-10,21:00:00,2.2,1376,80,9.2,948,172,1092,122,1584,1203,11.0,60.0,0.7867,Moderate
2004-03-10,22:00:00,1.6,1272,51,6.5,836,131,1205,116,1490,1110,11.2,59.6,0.7888,Good
2004-03-11,00:00:00,1.2,1197,38,4.7,702,89,1337,96,1393,949,11.6,59.2,0.8127,Good
2004-03-11,01:00:00,1.2,1185,31,3.6,657,62,1462,77,1333,733,10.5,64.6,0.8093,Good
2004-03-11,02:00:00,1.0,1136,31,3.3,609,52,1598,76,1292,591,10.5,63.6,0.7978,Good
2004-03-11,03:00:00,0.9,1094,24,2.3,529,47,1661,61,1244,468,10.2,65.3,0.8041,Good
2004-03-11,04:00:00,0.6,1010,15,1.7,422,32,1800,60,1066,241,10.1,67.6,0.8359,Good
2004-03-11,05:00:00,0.7,1011,15,1.8,432,29,1781,62,1073,264,10.2,67.4,0.8359,Good
2004-03-11,06:00:00,1.1,1066,24,2.7,543,53,1647,72,1255,525,10.1,68.5,0.8497,Good
2004-03-11,07:00:00,2.1,1285,64,8.0,878,118,1172,101,1517,943,12.0,55.6,0.7893,Moderate
2004-03-11,08:00:00,2.8,1373,98,10.2,978,181,1046,116,1631,1249,13.2,50.2,0.7756,Moderate
2004-03-11,09:00:00,3.1,1420,107,11.4,1014,202,997,124,1660,1346,14.8,45.2,0.7856,Moderate
2004-03-11,10:00:00,3.4,1451,124,12.8,1052,218,972,131,1681,1402,16.1,42.0,0.7943,Unhealthy for Sensitive Groups
2004-03-11,11:00:00,3.7,1480,138,14.0,1087,234,949,140,1702,1450,17.5,39.5,0.8055,Unhealthy for Sensitive Groups
2004-03-11,12:00:00,4.0,1510,152,15.2,1115,249,930,148,1722,1495,18.9,37.1,0.8134,Unhealthy for Sensitive Groups
2004-03-11,13:00:00,3.6,1470,141,13.5,1075,221,958,138,1698,1435,19.5,36.2,0.8201,Unhealthy for Sensitive Groups
2004-03-11,14:00:00,3.2,1430,128,12.1,1030,203,980,129,1671,1380,20.1,35.4,0.8267,Moderate
2004-03-11,15:00:00,2.9,1390,115,10.9,990,185,1010,120,1642,1315,19.8,36.0,0.8212,Moderate
2004-03-11,16:00:00,2.5,1340,96,9.1,945,162,1060,108,1605,1230,19.2,37.5,0.8145,Moderate
2004-03-11,17:00:00,2.8,1368,105,10.4,972,178,1038,115,1628,1270,18.5,39.2,0.8089,Moderate
2004-03-11,18:00:00,3.2,1415,121,12.2,1025,198,995,127,1658,1350,17.9,41.0,0.8021,Moderate
2004-03-12,08:00:00,4.5,1560,180,17.1,1140,270,905,162,1750,1550,15.2,44.8,0.8012,Unhealthy
2004-03-12,09:00:00,5.0,1620,205,19.5,1180,295,878,175,1780,1610,16.4,42.1,0.8098,Unhealthy
2004-03-12,10:00:00,5.6,1690,230,22.0,1218,320,850,189,1812,1672,17.8,39.5,0.8175,Unhealthy
2004-03-12,11:00:00,6.2,1760,258,24.8,1257,348,820,204,1845,1738,19.2,37.0,0.8252,Very Unhealthy
2004-03-12,12:00:00,6.8,1825,280,27.0,1290,370,795,218,1875,1795,20.5,35.2,0.8321,Very Unhealthy
2004-03-12,13:00:00,6.1,1740,252,24.2,1248,340,830,200,1838,1720,21.0,34.8,0.8378,Very Unhealthy
2004-03-12,14:00:00,5.4,1660,222,21.3,1210,312,862,185,1800,1645,21.8,33.9,0.8435,Unhealthy
2004-03-12,15:00:00,4.8,1590,196,18.7,1165,283,890,169,1762,1572,22.1,33.4,0.8456,Unhealthy
2004-03-12,16:00:00,4.1,1520,168,15.8,1120,255,922,153,1723,1498,21.5,34.5,0.8401,Unhealthy for Sensitive Groups
2004-03-12,17:00:00,3.5,1455,142,13.2,1068,228,954,141,1685,1425,20.9,35.8,0.8323,Unhealthy for Sensitive Groups
2004-03-13,06:00:00,1.8,1250,68,6.2,820,110,1190,98,1540,1050,9.5,70.2,0.8612,Good
2004-03-13,07:00:00,2.3,1318,85,8.5,900,148,1110,108,1590,1150,10.8,64.5,0.8452,Moderate
2004-03-13,08:00:00,3.0,1400,110,11.0,1000,185,1050,118,1640,1270,12.4,57.8,0.8298,Moderate
2004-03-13,09:00:00,3.5,1450,130,13.0,1050,210,1010,130,1670,1340,14.0,51.2,0.8142,Moderate
2004-03-13,10:00:00,3.9,1492,148,14.8,1085,231,982,140,1698,1395,15.5,46.3,0.8012,Unhealthy for Sensitive Groups
2004-03-14,08:00:00,2.1,1295,80,8.1,882,130,1155,103,1552,1075,11.2,62.1,0.8245,Moderate
2004-03-14,09:00:00,2.7,1358,102,10.5,960,168,1085,116,1600,1190,12.8,55.9,0.8098,Moderate
2004-03-14,10:00:00,3.3,1428,125,12.5,1035,200,1018,128,1648,1310,14.3,50.0,0.7952,Moderate
